section	opener_template	total_occurrences	paper_count	top_papers
results	as shown in supplementary fig.	62	34	10.1038/s41467-026-72625-z;10.1038/s41467-021-24931-x;10.1038/s41467-025-64696-1;10.1038/s41467-026-74583-y;10.1038/s41467-024-47891-4
results	on the other hand the	25	21	10.1038/s41467-020-16855-9;10.1038/s41467-023-41868-5;10.1038/s41467-024-45944-2;10.1038/s41467-024-46243-6;10.1038/s41377-025-01972-1
results	it is worth noting that	20	19	10.1038/s41467-021-20970-6;10.1038/s41377-022-01036-8;10.1038/s41377-025-01959-y;10.1038/s41467-019-08561-y;10.1038/s41467-019-13909-5
results	it should be noted that	17	12	10.1038/s41467-022-28037-w;10.1038/s41467-019-09737-2;10.1038/s41467-026-74151-4;10.1038/s41467-020-20433-4;10.1038/s41467-022-29812-5
results	the results show that the	15	13	10.1038/s41377-025-01959-y;10.1038/s41467-024-50508-5;10.1038/s41377-022-00992-5;10.1038/s41377-022-01036-8;10.1038/s41377-026-02237-1
results	it can be seen that	14	9	10.1038/s41467-019-08561-y;10.1038/s41377-025-01768-3;10.1038/s41467-021-20970-6;10.1038/s41467-025-60886-z;10.1038/s41377-025-01959-y
results	this is consistent with the	14	12	10.1038/s41467-018-05909-8;10.1038/s41467-018-06425-5;10.1038/s41377-020-0328-6;10.1038/s41467-019-08749-2;10.1038/s41467-020-15481-9
results	to the best of our	13	13	10.1038/s41377-025-01817-x;10.1038/s41377-025-01867-1;10.1038/s41467-018-06425-5;10.1038/s41467-020-16659-x;10.1038/s41467-020-16865-7
results	as shown in fig. 4a	12	12	10.1038/s41377-025-02019-1;10.1038/s41467-020-15481-9;10.1038/s41467-020-16659-x;10.1038/s41467-024-49574-6;10.1038/s41467-025-56815-9
results	as shown in fig. 2a	12	12	10.1038/s41377-022-00855-z;10.1038/s41377-025-01835-9;10.1038/s41467-017-01379-6;10.1038/s41467-019-08749-2;10.1038/s41467-019-09794-7
results	as shown in fig. 3c	11	10	10.1038/s41467-020-20555-9;10.1038/s41377-022-00855-z;10.1038/s41377-025-01768-3;10.1038/s41377-025-01835-9;10.1038/s41467-021-24931-x
results	on the basis of the	11	8	10.1038/s41467-019-13951-3;10.1038/s41586-023-05855-6;qdp_2012_lifetime-blinking-nonblinking-qd;10.1038/s41377-025-01867-1;10.1038/s41467-025-57472-8
results	as shown in fig. 2b	10	9	10.1038/s41467-020-16659-x;10.1038/s41377-026-02237-1;10.1038/s41377-026-02246-0;10.1038/s41467-019-13909-5;10.1038/s41467-020-14747-6
results	as shown in fig. 3a	10	10	10.1038/s41377-022-00855-z;10.1038/s41377-024-01500-7;10.1038/s41467-020-16659-x;10.1038/s41467-020-20433-4;10.1038/s41467-021-27652-3
results	as shown in fig. 4b	9	9	10.1038/s41377-022-01036-8;10.1038/s41377-025-01835-9;10.1038/s41467-017-01379-6;10.1038/s41467-019-13909-5;10.1038/s41467-024-47891-4
results	as shown in fig. 1b	9	9	10.1038/s41377-025-02019-1;10.1038/s41467-018-02978-7;10.1038/s41467-018-04986-z;10.1038/s41467-019-13909-5;10.1038/s41467-020-14747-6
results	it is found that the	8	3	10.1038/s41467-018-02978-7;10.1038/s41467-018-05760-x;10.1038/s41377-024-01601-3
results	these results indicate that the	8	8	10.1038/s41377-025-02019-1;10.1038/s41467-020-20582-6;10.1038/s41467-023-36773-w;10.1038/s41467-025-58470-6;10.1038/s41467-025-59527-2
results	as shown in fig. 2e	8	8	10.1038/s41467-019-13909-5;10.1038/s41467-020-14747-6;10.1038/s41467-020-15944-z;10.1038/s41467-020-20555-9;10.1038/s41467-021-24931-x
